,weight
CINF,0.004114289703049528
AWK,0.0
ES,0.004090317053405209
CFG,0.00068840169197815
CNP,0.00492831927939431
STE,0.00175112196860982
GIS,0.0
VLTO,0.0
IRM,0.0
JBL,0.0007757105696143538
TDY,0.0009275077524111303
HAL,0.0007217799116495908
RF,0.0008417682005991185
HUBB,0.0007467993040516025
BRO,0.0
DLTR,0.0009370748694764945
STLD,0.0007896378608782432
FE,0.005732668130536753
EIX,0.004012499668013983
LDOS,0.0011693961289559885
PPG,0.0
DVN,0.0010117082120697628
PHM,0.000693351069828806
TROW,0.0008831469654672546
WAT,0.000840266384671118
LYV,0.0
LULU,0.0
LEN,0.000719666128261865
EQR,0.0
ON,0.0005919786121146221
WSM,0.0006462004714575755
NTAP,0.0
DRI,0.0
LUV,0.0007861865344547644
CMS,0.004651745567146146
CPAY,0.0
WRB,0.0
PTC,0.0
HPQ,0.0
LH,0.004078789341986216
IP,0.0
NVR,0.0
KHC,0.0
SBAC,0.0
VRSN,0.0
SW,0.0
CHD,0.0
CTRA,0.0017720537053385378
PODD,0.0
EXPD,0.001157692356568585
NI,0.0047051735126162186
LVS,0.001286717102745656
WST,0.0010151740597910469
TYL,0.0
STZ,0.0
DGX,0.004216907772814983
AMCR,0.0
CNC,0.0009962386101733593
KEY,0.0008602172519077606
CHRW,0.001403211515816826
TRMB,0.0
PKG,0.0010472643879197723
CHTR,0.0
GPN,0.0
IT,0.0
SNA,0.0011127872615339137
L,0.005891282856500455
ZBH,0.0
CDW,0.0
PFG,0.0010386125510358688
ROL,0.004395823320760627
FTV,0.0009694265514994006
IFF,0.0
MKC,0.0
WY,0.0011226992876135662
GPC,0.0010483355164259058
PNR,0.0008777330391424588
ESS,0.0
DD,0.0007862827551002273
GDDY,0.0
TTD,0.0
LNT,0.004666418724461701
EVRG,0.00504328068379349
ALB,0.0006349873852577289
TPL,0.0
DOW,0.00046757174323931375
TSN,0.00448737441452511
HOLX,0.0027474794607926034
APTV,0.0006733205540857777
COO,0.0009158372054881305
INCY,0.0012818948466241764
MAA,0.0
J,0.0008160141043538167
INVH,0.0
LII,0.0
TXT,0.0009530650429642025
GEN,0.0
FOXA,0.0013438023793924249
DECK,0.0
FFIV,0.0
SMCI,0.0
JBHT,0.0009638239194921626
VTRS,0.0010973884981192092
EG,0.0
BALL,0.0
AVY,0.001316425946701472
TKO,0.06378375105855347
KIM,0.0
RL,0.0008696844590838104
ALLE,0.001105267765270344
HII,0.0009340201567943539
IEX,0.0008623014253536475
JKHY,0.0
MAS,0.000794888541581669
BBY,0.0
DPZ,0.0
NDSN,0.000935150648546756
AKAM,0.0009273144722271239
CLX,0.0
ZBRA,0.0
AIZ,0.005154087807928406
CF,0.0
BG,0.0013313640936879337
UHS,0.0013595816573519623
CPT,0.0
IVZ,0.0006542956913883261
SOLV,0.0
SWK,0.0005176539668308724
BLDR,0.0
REG,0.004839687698893904
HST,0.0009371082620483002
EPAM,0.0007881075101565779
DOC,0.005140014853240442
GL,0.004672938463769514
LYB,0.0
UDR,0.0
DAY,0.12254948194496385
RVTY,0.0005712757783163683
HAS,0.000924200562759901
FDS,0.0
PNW,0.004479501827526955
SJM,0.00461567657115477
ALGN,0.0
MRNA,0.00040348917219287474
AES,0.0011312726661000326
NCLH,0.0
WYNN,0.001199348480862123
BXP,0.0
NWSA,0.0
CRL,0.0006253720550140575
BAX,0.0
FOX,0.0014776145889130383
SWKS,0.0
TECH,0.0006434327048089173
MOH,0.0
APA,0.0007615957494888831
CAG,0.0
GNRC,0.0006584683517746063
FRT,0.005488086955354848
TAP,0.0
PAYC,0.0
MOS,0.0
ARE,0.0
MTCH,0.0
AOS,0.0009551732004745167
HSIC,0.0011407291905766643
POOL,0.0
MGM,0.0
BEN,0.0009368590766829499
ERIE,0.0
HRL,0.0
LW,0.0
CPB,0.0
PSKY,0.0
DVA,0.0
NWS,0.0
BTC-USD,0.0
ETH-USD,0.0004116573092253168
XRP-USD,0.0
BNB-USD,0.0007380580455892356
SOL-USD,0.0
TRX-USD,0.001346522867308485
DOGE-USD,0.0
ADA-USD,0.0
USO,0.0033707930354646256
BNO,0.0035945773424581164
UNG,0.0
GLD,0.0034615022752380107
SLV,0.001420370799931254
PPLT,0.001420219704614179
PALL,0.0015379391009995224
DBA,0.004167927039149698
DBC,0.0035225432437357954
GSG,0.0035540086083558978
